,numero_national_de_structure,libelle,sigle,annee_de_creation,type_de_structure,code_de_type_de_structure,code_de_niveau_de_structure,site_web,adresse,code_postal,commune,nom_du_responsable,prenom_du_responsable,titre_du_responsable,label_numero,tutelles,sigles_des_tutelles,code_de_nature_de_tutelle,nature_de_tutelle,uai_des_tutelles,siret_des_tutelles,code_de_type_de_tutelle,type_de_tutelle,numero_de_structure_enfant,numero_de_structure_parent,numero_de_structure_historique,type_de_succession,code_de_type_de_succession,annee_d_effet_historique,code_domaine_scientifique,domaine_scientifique,code_panel_erc,panel_erc,fiche_rnsr,grid
0,200810693T,FEDERATION DE RECHERCHE MATHEMATIQUES DES PAYS DE LOIRE,,2007,Structures Fédératives de Recherche,3,3,http://www.fpl.math.cnrs.fr/,2 rue de la Houssinière,44322,NANTES CEDEX 3,HERAU,Frédéric,DIR,FR 2962;FR 2962;FR 2962;;;,Ecole Centrale de Nantes;Université Bretagne Sud;Centre national de la recherche scientifique;Université Angers;Le Mans Université;Nantes Université,EC. CENTRALE NANTES;BRETAGNE-SUD;CNRS;ANGERS;LE MANS;Nantes Université,AUT_ETAB;UNIV;EPST;UNIV;UNIV;UNIV,Autres établissements ESR;Université;Organismes de type EPST;Université;Université;Université,0440100V;0561718N;0753639Y;0490970N;0720916E;0442953W,19440100600011;19561718800600;18008901303720;19490970100303;19720916600010;13002974700016,TUTE;TUTE;TUTE;PART;PART;PART,établissement tutelle;établissement tutelle;établissement tutelle;établissement participant;établissement participant;établissement participant,200014561G;200012173L;199612400A,,,,,,1,Mathématiques et leurs interactions,,,https://appliweb.dgri.education.fr/rnsr/PresenteStruct.jsp?numNatStruct=200810693T&PUBLIC=OK,
1,200412238P,INSTITUT DE RECHERCHE EN GÉNIE CIVIL ET MÉCANIQUE,GeM,2004,Unité mixte,22,2,http://gem.ec-nantes.fr,1 rue de la Noë,44321,NANTES CEDEX 3,JACQUEMIN;LOUKILI;AMIRI;FRANCOIS,Frédéric;Ahmed;Ouali;Marc,DIR-ADJ;Directeur;dir-adjoint;dir-adjoint,UMR 6183;UMR 6183;UMR 6183,Ecole Centrale de Nantes;Centre national de la recherche scientifique;Nantes Université,EC. CENTRALE NANTES;CNRS;Nantes Université,AUT_ETAB;EPST;UNIV,Autres établissements ESR;Organismes de type EPST;Université,0440100V;0753639Y;0442953W,19440100600011;18008901303720;13002974700016,TUTE;TUTE;TUTE,établissement tutelle;établissement tutelle;établissement tutelle,,,200015981A;199613764H;199613763G,fusion;fusion;fusion,F;F;F,2004;2004;2004,8,Sciences pour l'ingénieur,,,https://appliweb.dgri.education.fr/rnsr/PresenteStruct.jsp?numNatStruct=200412238P&PUBLIC=OK,grid.503214.1
2,200412248A,BIOLOGIE ET ECOLOGIE DES ECOSYSTEMES MARINS PROFONDS,BEEP,2004,Unité mixte,22,2,http://wwz.ifremer.fr/umr6197,Z.I de la Pointe du Diable,29280,PLOUZANE,SARRADIN;GESLIN,Pierre-Marie;Claire,Directeur;dir adjoint,UMR 6197;UMR 6197;,Université de Brest;Institut Francais de Recherche pour l'Exploitation de la Mer;Centre national de la recherche scientifique,BREST;IFREMER;CNRS,UNIV;EPIC;EPST,Université;Organismes de type EPIC;Organismes de type EPST,0290346U;0922262J;0753639Y,19290346600014;33071536800032;18008901303720,TUTE;TUTE;PART,établissement tutelle;établissement tutelle;établissement participant,201122280Z,200810872M,199213368V,intégration,I,2022,10,Sciences agronomiques et écologiques,,,https://appliweb.dgri.education.fr/rnsr/PresenteStruct.jsp?numNatStruct=200412248A&PUBLIC=OK,
3,200410654T,Fédération de recherche des unités de mathématiques de Marseille,FRUMAM,2001,Structures Fédératives de Recherche,3,3,,3 place Victor Hugo - case 39,13331,MARSEILLE CEDEX 03,PICHON,Anne,DIR,;;FR 2291;;,Université de Toulon;Université Avignon et Pays du Vaucluse;Centre national de la recherche scientifique;Université Aix-Marseille;Ecole Centrale de Marseille,TOULON;AVIGNON;CNRS;AIX-MARSEILLE;EC. CENTRALE MARSEILLE,UNIV;UNIV;EPST;UNIV;AUT_ETAB,Université;Université;Organismes de type EPST;Université;Autres établissements ESR,0830766G;0840685N;0753639Y;0134009M;0133774G,19830766200017;19840685200204;18008901303720;13001533200013;19133340000015,TUTE;TUTE;TUTE;TUTE;PART,établissement tutelle;établissement tutelle;établissement tutelle;établissement tutelle;établissement participant,201420768T;201220252R;199613757A;199613747P,,,,,,1;2,Mathématiques et leurs interactions;Physique,,,https://appliweb.dgri.education.fr/rnsr/PresenteStruct.jsp?numNatStruct=200410654T&PUBLIC=OK,
4,200810679C,Physique et Chimie du Vivant,FR PCV,2004,Structures Fédératives de Recherche,3,3,http://fr2708.cnrs.fr,Rue de Chartres,45067,ORLEANS CEDEX 2,MARTIN,Olivier,DIR,;FR 2708,Université Orléans;Centre national de la recherche scientifique,ORLEANS;CNRS,UNIV;EPST,Université;Organismes de type EPST,0450855K;0753639Y,19450855200016;18008901303720,TUTE;TUTE,établissement tutelle;établissement tutelle,201220206R;196717612S,,,,,,4;5,"Chimie;Biologie, médecine et santé",,,https://appliweb.dgri.education.fr/rnsr/PresenteStruct.jsp?numNatStruct=200810679C&PUBLIC=OK,
5,200510681T,"Institut de Chimie Moléculaire de Paris Centre, organique, inorganique et biologique",,2005,Structures Fédératives de Recherche,3,3,http://www.fr2769.upmc.fr/,4 place Jussieu,75252,PARIS CEDEX 05,PEREZ LUNA,Alejandro,Directeur,FR 2769;FR 2769;;;;,Centre national de la recherche scientifique;Sorbonne Université;Université Paris sciences et lettres;Ecole Nationale Supérieure de Chimie de Paris - Chimie ParisTech;Ecole Supérieure de Physique et Chimie Industrielle de la Ville de Paris;Ecole Normale Supérieure Paris,CNRS;SORBONNE UNIV.;PSL;ENS CHIM. PARIS;ESPCI PARIS;ENS PARIS,EPST;UNIV;UNIV;AUT_ETAB;AUT_ETAB;AUT_ETAB,Organismes de type EPST;Université;Université;Autres établissements ESR;Autres établissements ESR;Autres établissements ESR,0753639Y;0755890V;0756036D;0753375L;0753429V;0753455Y,18008901303720;13002338500011;13002614900018;13002142100016;20000068500012;19753459700012,TUTE;TUTE;TUTE;PART;PART;PART,établissement tutelle;établissement tutelle;établissement tutelle;établissement participant;établissement participant;établissement participant,201420753B;201119722U;200919226N;200919210W;200512549Y;199812965F,,,,,,4,Chimie,,,https://appliweb.dgri.education.fr/rnsr/PresenteStruct.jsp?numNatStruct=200510681T&PUBLIC=OK,grid.457012.5
7,200310841A,Observatoire des sciences de l'univers de Grenoble,OSUG,1985,Structures Fédératives de Recherche,3,3,http://www.osug.fr/,Bâtiment OSUG - D 122 rue de la Piscine,38400,ST MARTIN D HERES,COTTE;BONAL;JACOBI;VOISIN;MALBET,Nathalie;Lydie;Hans Werner;Didier;Fabien,Directrice;Directrice adjointe;Directeur adjoint;Directeur adjoint;Directeur adjoint,UAR 832;UMS 222;UMS 1484;UMS 832;UMS 832;UMS 832;UMS 832;UMS 832;UMS 832,"Centre national de la recherche scientifique;Institut de recherche pour le developpement;Institut national de recherche pour l'agriculture, l'alimentation et l'environnement;Université Grenoble Alpes;Ecole Nationale Supérieure Météorologie Toulouse;Institut polytechnique de Grenoble;Université Savoie Chambéry;Météo France;Université Gustave Eiffel",CNRS;IRD;INRAE;GRENOBLE ALPES;E.N.METEO.TLSE;GRENOBLE INP;CHAMBERY;METEO;UNIV.G.EIFFEL,EPST;EPST;EPST;UNIV;AUT_ETAB;AUT_ETAB;UNIV;PRIVE;UNIV,Organismes de type EPST;Organismes de type EPST;Organismes de type EPST;Université;Autres établissements ESR;Autres établissements ESR;Université;Société de droit privé française;Université,0753639Y;0133973Y;;0383546Y;0312069F;0381912X;0730858L;;0772894C,18008901303720;18000602500159;18007003901803;13002608100013;18006003000400;19381912500017;19730858800015;18006003002117;13002612300013,TUTE;TUTE;TUTE;TUTE;PART;PART;PART;PART;PART,établissement tutelle;établissement tutelle;établissement tutelle;établissement tutelle;établissement participant;établissement participant;établissement participant;établissement participant;établissement participant,201722374A;201119454C;201119432D;200710869N;200511874P;199511994N;199511963E,,,,,,2;3;7;8;10,"Physique;Sciences de la terre et de l'univers, espace;Sciences de la société;Sciences pour l'ingénieur;Sciences agronomiques et écologiques",PE9,"Universe Sciences : Astro-physics/-chemistry/-biology;solar system;planetary systems;stellar, galactic and extragalactic astronomy;cosmology;space sciences;astronomical instrumentation and data",https://appliweb.dgri.education.fr/rnsr/PresenteStruct.jsp?numNatStruct=200310841A&PUBLIC=OK,
8,200810873N,Observatoire des Sciences de l'Univers en région Centre-Val de Loire,OSUC,2008,Structures Fédératives de Recherche,3,3,http://www.univ-orleans.fr/osuc/,1 A rue de la Férolerie,45071,ORLEANS CEDEX 2,MOREIRA,Manuel,Directeur,UMS 3116;UAR 3116;UMS 3116;UMS 3116,Université Orléans;Centre national de la recherche scientifique;Observatoire Paris;Université Paris sciences et lettres,ORLEANS;CNRS;OBSV.PARIS;PSL,UNIV;EPST;AUT_ETAB;UNIV,Université;Organismes de type EPST;Autres établissements ESR;Université,0450855K;0753639Y;0753496T;0756036D,19450855200016;18008901303720;19753496900013;13002614900018,TUTE;TUTE;PART;PART,établissement tutelle;établissement tutelle;établissement participant;établissement participant,201220223J;201220213Y;199519805D,,,,,,3,"Sciences de la terre et de l'univers, espace",,,https://appliweb.dgri.education.fr/rnsr/PresenteStruct.jsp?numNatStruct=200810873N&PUBLIC=OK,
9,200012121E,Génie Enzymatique et Cellulaire. Reconnaissance Moléculaire et Catalyse,GEC,2013,Unité mixte,22,2,http://www.umr7025-gec.fr/,"UNIVERSITE DE TECHNOLOGIE DE COMPIEGNE, CENTRE DE RECHERCHES - BAT F, CS 60319",60203,COMPIEGNE CEDEX,HAUPT;SARAZIN,Karsten;Catherine,DIR;Responsable Amiénois,;UMR 7025;UMR 7025,Université de Technologie de Compiègne;Centre national de la recherche scientifique;Université Picardie Jules-Verne Amiens,UT COMPIEGNE;CNRS;AMIENS,UNIV;EPST;UNIV,Université;Organismes de type EPST;Université,0601223D;0753639Y;0801344B,19601223100169;18008901303720;19801344300017,TUTE;TUTE;PART,établissement tutelle;établissement tutelle;établissement participant,,,,,,,10,Sciences agronomiques et écologiques,,,https://appliweb.dgri.education.fr/rnsr/PresenteStruct.jsp?numNatStruct=200012121E&PUBLIC=OK,
10,200012185Z,LABORATOIRE DE PLANETOLOGIE ET GEOSCIENCES,LPG,2000,Unité mixte,22,2,https://lpg-umr6112.fr,2 Rue de la Houssinière,44322,NANTES CEDEX 3,CHOBLET;LANGLAIS;METZGER,GAEL;Benoît;Edouard,;Directeur;Directeur-adjoint,UMR 6112;UMR 6112;UMR 6112;UMR 6112;UMR 6112;UMR 6112,Université Angers;Le Mans Université;Centre national de la recherche scientifique;Nantes Université;Université La Rochelle;Centre National d'Etude Spatiales,ANGERS;LE MANS;CNRS;Nantes Université;LA ROCHELLE;CNES,UNIV;UNIV;EPST;UNIV;UNIV;EPIC,Université;Université;Organismes de type EPST;Université;Université;Organismes de type EPIC,0490970N;0720916E;0753639Y;0442953W;0171463Y;0752743Z,19490970100303;19720916600010;18008901303720;13002974700016;19170032700015;77566591200082,TUTE;TUTE;TUTE;TUTE;PART;PART,établissement tutelle;établissement tutelle;établissement tutelle;établissement tutelle;établissement participant;établissement participant,,201420664E,,,,,3,"Sciences de la terre et de l'univers, espace",,,https://appliweb.dgri.education.fr/rnsr/PresenteStruct.jsp?numNatStruct=200012185Z&PUBLIC=OK,
12,200810834W,Maison des Sciences de l'Homme Ange-Guépin,MSH Ange-Guépin,2012,Structures Fédératives de Recherche,3,3,http://www.msh.univ-nantes.fr,5 allée Jacques Berque,44021,NANTES CEDEX 1,LE BLAY,Frédéric,Directeur,;;UAR 3491;USR 3491,Université Angers;Le Mans Université;Centre national de la recherche scientifique;Nantes Université,ANGERS;LE MANS;CNRS;Nantes Université,UNIV;UNIV;EPST;UNIV,Université;Université;Organismes de type EPST;Université,0490970N;0720916E;0753639Y;0442953W,19490970100303;19720916600010;18008901303720;13002974700016,TUTE;TUTE;TUTE;TUTE,établissement tutelle;établissement tutelle;établissement tutelle;établissement tutelle,,,,,,,6;7,Sciences humaines et humanités;Sciences de la société,,,https://appliweb.dgri.education.fr/rnsr/PresenteStruct.jsp?numNatStruct=200810834W&PUBLIC=OK,grid.438326.8
13,200711909U,Interactions Hôtes-Pathogènes-Environnements,IHPE,2006,Unité mixte,22,2,http://ihpe.univ-perp.fr/,52 Avenue Paul Alduy,66860,PERPIGNAN CEDEX 9,GRUNAU;GUEGUEN,Christoph;Yannick,DIR;DIR-ADJ,UMR 5244;UMR 5244;UMR 5244;UMR 5244,Université Perpignan via Domitia;Centre national de la recherche scientifique;Institut Francais de Recherche pour l'Exploitation de la Mer;Université de Montpellier,PERPIGNAN;CNRS;IFREMER;MONTPELLIER,UNIV;EPST;EPIC;UNIV,Université;Organismes de type EPST;Organismes de type EPIC;Université,0660437S;0753639Y;0922262J;0342321N,19660437500010;18008901303720;33071536800032;13002054800017,TUTE;TUTE;TUTE;TUTE,établissement tutelle;établissement tutelle;établissement tutelle;établissement tutelle,201122290K,,,,,,10,Sciences agronomiques et écologiques,LS9,"Biotechnology and Biosystems Engineering : Biotechnology using all organisms, biotechnology for environment and food applications, applied plant and animal sciences, bioengineering and synthetic biology, biomass and biofuels, biohazards",https://appliweb.dgri.education.fr/rnsr/PresenteStruct.jsp?numNatStruct=200711909U&PUBLIC=OK,
14,200711923J,LABORATOIRE DU FUTUR,LOF,2007,Unité mixte,22,2,http://www.lof.cnrs.fr/,178 avenue du Docteur Schweitzer,33608,PESSAC CEDEX,GUILLOT;LENG,Pierre;Jacques,DR;DIR-ADJ,UMR 5258;UMR 5258;UMR 5258;UMR 5258,Centre national de la recherche scientifique;Groupe Rhodia;Université de Bordeaux;Institut Polytechnique Bordeaux,CNRS;RHODIA;BORDEAUX;Bordeaux INP,EPST;PRIVE;UNIV;AUT_ETAB,Organismes de type EPST;Société de droit privé française;Université;Autres établissements ESR,0753639Y;;0333298F;0333232J,18008901303720;64201452600619;13001835100010;13000635600013,TUTE;TUTE;TUTE;PART,établissement tutelle;établissement tutelle;établissement tutelle;établissement participant,,,,,,,,,PE4;PE3,"Physical and analytical chemical sciences : analytical chemistry, chemical theory, physical chemistry/chemical physics;Condensed matter physics : structure, electronic properties, fluids, nanosciences, biological physics",https://appliweb.dgri.education.fr/rnsr/PresenteStruct.jsp?numNatStruct=200711923J&PUBLIC=OK,grid.464083.d
15,197112027D,"Laboratoire Aménagement, Économie, Transport",LAET,1995,Unité mixte,22,2,http://www.laet.science,14 avenue Berthelot,69363,LYON CEDEX 07,PEGUY;KLEIN,Pierre-Yves;Olivier,DIR;DIR-ADJ,UMR 5593;UMR 5593;UMR 5593,Université Lumière Lyon 2;Ecole Nationale des Travaux Publics de l'Etat Lyon;Centre national de la recherche scientifique,LYON 2;ENTPE LYON;CNRS,UNIV;AUT_ETAB;EPST,Université;Autres établissements ESR;Organismes de type EPST,0691775E;0692566P;0753639Y,19691775100014;13000288400018;18008901303720,TUTE;TUTE;TUTE,établissement tutelle;établissement tutelle;établissement tutelle,,201119599K,,,,,6;7,Sciences humaines et humanités;Sciences de la société,SH1;SH2;SH3,"Individuals, Markets and Organisations : Economics, finance, management;Institutions, Governance and Legal Systems : Political science, international relations, law;The Social World and Its Diversity : Sociology, social psychology, social anthropology, education sciences, communication studies",https://appliweb.dgri.education.fr/rnsr/PresenteStruct.jsp?numNatStruct=197112027D&PUBLIC=OK,grid.482743.e
16,199512038L,"Travaux de Recherches Archéologiques sur les Cultures, les Espaces et les Sociétés",TRACES,1995,Unité mixte,22,2,http://traces.univ-tlse2.fr,"Université Toulouse-Jean Jaurès, 5 allées Antonio Machado, Maison de la recherche",31058,TOULOUSE CEDEX 9,COSTAMAGNO;VALDEYRON;PERRIN,Sandrine;Nicolas;Thomas,Directrice adjointe;DIR;Directeur adjoint,UMR 5608;UMR 5608;UMR 5608;UMR 5608;UMR 5608,Université Toulouse - Jean Jaurès;Centre national de la recherche scientifique;Ministère de la culture;Ecole des Hautes Etudes en Sciences Sociales Paris;Institut National de Recherches Archeologiques Preventives,TOULOUSE 2;CNRS;MIN.CULT;EHESS PARIS;INRAP,UNIV;EPST;AUT_OP_FR;AUT_ETAB;EPA,Université;Organismes de type EPST;Autre opérateur de droit français;Autres établissements ESR;Etablissement public à caractère administratif,0311383K;0753639Y;;0753742K;0755502Y,19311383400017;18008901303720;11004601800013;19753742600011;18009226400225,TUTE;TUTE;TUTE;PART;PART,établissement tutelle;établissement tutelle;établissement tutelle;établissement participant;établissement participant,,,,,,,6,Sciences humaines et humanités,SH6,The Study of the Human Past : Archaeology and history,https://appliweb.dgri.education.fr/rnsr/PresenteStruct.jsp?numNatStruct=199512038L&PUBLIC=OK,grid.462701.6
17,199512085M,Environnements et paléoenvironnements océaniques et continentaux,EPOC,1997,Unité mixte,22,2,http://www.epoc.u-bordeaux.fr,Allée Geoffroy Saint Hilaire,33615,PESSAC CEDEX,GREMARE;SCHMIDT,Antoine;Sabine,DR;Directrice adjointe,UMR 5805;UMR 5805;UMR 5805;UMR 5805,Centre national de la recherche scientifique;Université de Bordeaux;Ecole Pratique des Hautes Etudes Paris;Université Paris sciences et lettres,CNRS;BORDEAUX;EPHE PARIS;PSL,EPST;UNIV;AUT_ETAB;UNIV,Organismes de type EPST;Université;Autres établissements ESR;Université,0753639Y;0333298F;0753486G;0756036D,18008901303720;13001835100010;19753486000105;13002614900018,TUTE;TUTE;PART;PART,établissement tutelle;établissement tutelle;établissement participant;établissement participant,200310864A,200310864A,,,,,2;4;5,"Physique;Chimie;Biologie, médecine et santé",,,https://appliweb.dgri.education.fr/rnsr/PresenteStruct.jsp?numNatStruct=199512085M&PUBLIC=OK,grid.462906.f
18,199412064U,Institut Européen des Membranes,IEM,1995,Unité mixte,22,2,http://www.iemm.univ-montp2.fr,Université de Montpellier 300 avenue Emile Jeanbrau CC047,34095,MONTPELLIER CEDEX 5,CORNU,David,Directeur,UMR 5635;UMR 5635;UMR 5635,Ecole Nationale Supérieure de Chimie de Montpellier;Centre national de la recherche scientifique;Université de Montpellier,ENS CHIM. MONTPELLIER;CNRS;MONTPELLIER,AUT_ETAB;EPST;UNIV,Autres établissements ESR;Organismes de type EPST;Université,0340112M;0753639Y;0342321N,19340112200026;18008901303720;13002054800017,TUTE;TUTE;TUTE,établissement tutelle;établissement tutelle;établissement tutelle,,200919526P;201119518X,,,,,4;8,Chimie;Sciences pour l'ingénieur,PE5;PE4;PE8,"Synthetic Chemistry and Materials : New materials and new synthetic approaches, structure-properties relations, solid state chemistry, molecular architecture, organic chemistry;Physical and analytical chemical sciences : analytical chemistry, chemical theory, physical chemistry/chemical physics;Products and Processes Engineering : Product and process design, chemical, civil, environmental, mechanical, vehicle engineering, energy processes and relevant computational methods",https://appliweb.dgri.education.fr/rnsr/PresenteStruct.jsp?numNatStruct=199412064U&PUBLIC=OK,grid.461901.b
19,199512081H,LABORATOIRE DES COMPOSITES THERMOSTRUCTURAUX,LCTS,1997,Unité mixte,22,2,http://www.lcts.u-bordeaux.fr,3 Allée de la Boétie,33600,PESSAC,VIGNOLES,Gérard-Louis,DR,UMR 5801;UMR 5801;UMR 5801;,Centre national de la recherche scientifique;Commissariat à l'énergie atomique et aux énergies alternatives;Université de Bordeaux;SAFRAN CERAMICS,CNRS;CEA;BORDEAUX;SAFRAN CERAMICS,EPST;EPIC;UNIV;PRIVE,Organismes de type EPST;Organismes de type EPIC;Université;Société de droit privé française,0753639Y;0912281K;0333298F;,18008901303720;77568501900587;13001835100010;44051305900087,TUTE;TUTE;TUTE;TUTE,établissement tutelle;établissement tutelle;établissement tutelle;établissement tutelle,,,,,,,4;8,Chimie;Sciences pour l'ingénieur,PE5;PE8,"Synthetic Chemistry and Materials : New materials and new synthetic approaches, structure-properties relations, solid state chemistry, molecular architecture, organic chemistry;Products and Processes Engineering : Product and process design, chemical, civil, environmental, mechanical, vehicle engineering, energy processes and relevant computational methods",https://appliweb.dgri.education.fr/rnsr/PresenteStruct.jsp?numNatStruct=199512081H&PUBLIC=OK,grid.503357.7
21,199511964F,Laboratoire de Rhéologie et Procédés,LRP,1995,Unité mixte,22,2,http://www.laboratoire-rheologie-et-procedes.fr/,363 rue de la Chimie,38610,GIERES,BOSSARD,Frédéric,Directeur,UMR 5520;UMR 5520;UMR 5520,Institut polytechnique de Grenoble;Centre national de la recherche scientifique;Université Grenoble Alpes,GRENOBLE INP;CNRS;GRENOBLE ALPES,AUT_ETAB;EPST;UNIV,Autres établissements ESR;Organismes de type EPST;Université,0381912X;0753639Y;0383546Y,19381912500017;18008901303720;13002608100013,TUTE;TUTE;TUTE,établissement tutelle;établissement tutelle;établissement tutelle,,,,,,,2;4;5;8,"Physique;Chimie;Biologie, médecine et santé;Sciences pour l'ingénieur",PE8;PE3,"Products and Processes Engineering : Product and process design, chemical, civil, environmental, mechanical, vehicle engineering, energy processes and relevant computational methods;Condensed matter physics : structure, electronic properties, fluids, nanosciences, biological physics",https://appliweb.dgri.education.fr/rnsr/PresenteStruct.jsp?numNatStruct=199511964F&PUBLIC=OK,
22,199411998X,LABORATOIRE DE BIOMÉTRIE ET BIOLOGIE EVOLUTIVE,LBBE,1995,Unité mixte,22,2,http://lbbe.univ-lyon1.fr/,Université Claude Bernard Lyon 1 - Bâtiment Mendel - Campus Lyon Tech la Doua - 43 boulevard du 11 Novembre 1918,69622,VILLEURBANNE CEDEX,DESOUHANT;VAVRE,Emmanuel;Fabrice,Dirececteur adjoint;Directeur,UMR 5558;UMR 5558;UMR 5558;UMR 5558;UMR 5558;,VetAgro Sup;Université Claude Bernard Lyon 1;Centre national de la recherche scientifique;Institut national de la sante et de la recherche medicale;Institut national de la recherche en informatique et automatique;Hospices Civils de Lyon,VETAGRO SUP;LYON 1;CNRS;INSERM;INRIA;HCL - CHU LYON,AUT_ETAB;UNIV;EPST;EPST;EPST;MEDIC,Autres établissements ESR;Université;Organismes de type EPST;Organismes de type EPST;Organismes de type EPST;Etablissements de santé,0690193K;0691774D;0753639Y;0755364Y;0780491K;0693209N,13000858400018;19691774400019;18008901303720;18003604800015;18008904700013;26690027300019,TUTE;TUTE;TUTE;PART;PART;PART,établissement tutelle;établissement tutelle;établissement tutelle;établissement participant;établissement participant;établissement participant,201521243E;201120997E;200920929P;200118258W,201119599K;201119591B,,,,,10,Sciences agronomiques et écologiques,LS8;LS2;LS7,"Environmental Biology, Ecology and Evolution : Ecology, biodiversity, environmental change, evolutionary biology, behavioural ecology, microbial ecology, marine biology, ecophysiology, theoretical developments and modelling;Integrative Biology: from Genes and Genomes to Systems : Genetics, epigenetics, genomics and other ‘omics studies, bioinformatics, systems biology, genetic diseases, gene editing, innovative methods and modelling, ‘omics for personalised medicine;Prevention, Diagnosis and Treatment of Human Diseases : Medical technologies and tools for prevention, diagnosis and treatment of human diseases, therapeutic approaches and interventions, pharmacology, preventative medicine, epidemiology and public health, digital medicine",https://appliweb.dgri.education.fr/rnsr/PresenteStruct.jsp?numNatStruct=199411998X&PUBLIC=OK,grid.462854.9
23,199512018P,Institut Fourier,IF,1995,Unité mixte,22,2,http://www-fourier.univ-grenoble-alpes.fr,CS40700,38058,GRENOBLE CEDEX 9,FUNAR,Louis,Directeur,UMR 5582;UMR 5582,Centre national de la recherche scientifique;Université Grenoble Alpes,CNRS;GRENOBLE ALPES,EPST;UNIV,Organismes de type EPST;Université,0753639Y;0383546Y,18008901303720;13002608100013,TUTE;TUTE,établissement tutelle;établissement tutelle,,,,,,,1;2;5,"Mathématiques et leurs interactions;Physique;Biologie, médecine et santé",PE1,"Mathematics : All areas of mathematics, pure and applied, plus mathematical foundations of computer science, mathematical physics and statistics",https://appliweb.dgri.education.fr/rnsr/PresenteStruct.jsp?numNatStruct=199512018P&PUBLIC=OK,
24,199911764W,INSTITUT DE BIOLOGIE STRUCTURALE,IBS,1999,Unité mixte,22,2,http://www.ibs.fr/,71 rue des Martyrs,38044,GRENOBLE CEDEX 9,BLACKLEDGE;WEISSENHORN;BREYTON,Martin;Winfried;Cecile,DIR-ADJ;DIR;DIR-ADJ,UMR 5075;UMR 5075;UMR 5075,Centre national de la recherche scientifique;Commissariat à l'énergie atomique et aux énergies alternatives;Université Grenoble Alpes,CNRS;CEA;GRENOBLE ALPES,EPST;EPIC;UNIV,Organismes de type EPST;Organismes de type EPIC;Université,0753639Y;0912281K;0383546Y,18008901303720;77568501900587;13002608100013,TUTE;TUTE;TUTE,établissement tutelle;établissement tutelle;établissement tutelle,,,,,,,2;5,"Physique;Biologie, médecine et santé",LS2;LS1,"Integrative Biology: from Genes and Genomes to Systems : Genetics, epigenetics, genomics and other ‘omics studies, bioinformatics, systems biology, genetic diseases, gene editing, innovative methods and modelling, ‘omics for personalised medicine;Molecules of Life: Biological Mechanisms, Structures and Functions : Molecular biology, biochemistry, structural biology, molecular biophysics, synthetic and chemical biology, drug design, innovative methods and modelling",https://appliweb.dgri.education.fr/rnsr/PresenteStruct.jsp?numNatStruct=199911764W&PUBLIC=OK,grid.418192.7
25,199911775H,INSTITUT de PHARMACOLOGIE et de BIOLOGIE STRUCTURALE,IPBS,1999,Unité mixte,22,2,http://www.ipbs.fr,"205 route de Narbonne, BP 64182",31077,TOULOUSE CEDEX 4,MULLER;DUMAS;NEYROLLES,Catherine;Fabrice;Olivier,Directrice adjointe;Directeur adjoint;Directeur,UMR 5089;UMR 5089;UMR 5089,Université Toulouse 3 - Paul Sabatier;Centre national de la recherche scientifique;Institut national de la sante et de la recherche medicale,TOULOUSE 3;CNRS;INSERM,UNIV;EPST;EPST,Université;Organismes de type EPST;Organismes de type EPST,0311384L;0753639Y;0755364Y,19311384200010;18008901303720;18003604800015,TUTE;TUTE;PART,établissement tutelle;établissement tutelle;établissement participant,,,,,,,4;5,"Chimie;Biologie, médecine et santé",LS6;LS1;LS4;LS3,"Immunity, Infection and Immunotherapy : The immune system, related disorders and their mechanisms, biology of infectious agents and infection, biological basis of prevention and treatment of infectious diseases, innovative immunological tools and approaches, including therapies;Molecules of Life: Biological Mechanisms, Structures and Functions : Molecular biology, biochemistry, structural biology, molecular biophysics, synthetic and chemical biology, drug design, innovative methods and modelling;Physiology in Health, Disease and Ageing : Organ and tissue physiology, comparative physiology, physiology of ageing, pathophysiology, inter-organ and tissue communication, endocrinology, nutrition, metabolism, interaction with the microbiome, non-communicable diseases including cancer (and except disorders of the nervous system and immunity-related diseases));Cellular, Developmental and Regenerative Biology : Structure and function of the cell, cell-cell communication, embryogenesis, tissue differentiation, organogenesis, growth, development, evolution of development, organoids, stem cells, regeneration, therapeutic approaches",https://appliweb.dgri.education.fr/rnsr/PresenteStruct.jsp?numNatStruct=199911775H&PUBLIC=OK,grid.461904.e
26,199911795E,Centre de formation et de recherche sur les environnements méditerranéens,CEFREM,1999,Unité mixte,22,2,http://cefrem.univ-perp.fr/,52 Av Paul Alduy,66860,PERPIGNAN CEDEX 9,LUDWIG;BASSETTI,Wolfgang;MARIA-ANGELA,DIR;DIR-ADJ,UMR 5110;UMR 5110,Université Perpignan via Domitia;Centre national de la recherche scientifique,PERPIGNAN;CNRS,UNIV;EPST,Université;Organismes de type EPST,0660437S;0753639Y,19660437500010;18008901303720,TUTE;TUTE,établissement tutelle;établissement tutelle,,,,,,,10,Sciences agronomiques et écologiques,,,https://appliweb.dgri.education.fr/rnsr/PresenteStruct.jsp?numNatStruct=199911795E&PUBLIC=OK,grid.463829.2
